Идентификатор DOI *,Количество авторов *,Фамилия *,Имя *,Количество аффиляций *,Аффиляция *,Контрибьюция *,Дата публикации *,Наименование публикации *,Наименование издания *,Библиографическая ссылка *,Вид издания  *
10.3103/S0967091223070033,3,Davydenko, L.V.,1,Moscow Polytechnic University or Moscow Polytech,0.33,2023,"Investigation of Statistical Relationships between Heat Treatment Modes, Grain Sizes, and Mechanical Properties of EP718-ID Alloy Rings",Steel in Translation,"Egorova, Y.B., Davydenko, L.V., Kononova, I.S. Investigation of Statistical Relationships between Heat Treatment Modes, Grain Sizes, and Mechanical Properties of EP718-ID Alloy Rings (2023) Steel in Translation, 53 (7), pp. 593-598",Статья
10.3390/mi14071288,6,Klyuev, R.V.,1,Technique and Technology of Mining and Oil and Gas Production Department,0.17,2023,Improvement of Hybrid Electrode Material Synthesis for Energy Accumulators Based on Carbon Nanotubes and Porous Structures,Micromachines,"Malozyomov, B.V., Kukartsev, V.V., Martyushev, N.V., Kondratiev, V.V., Klyuev, R.V., Karlina, A.I. Improvement of Hybrid Electrode Material Synthesis for Energy Accumulators Based on Carbon Nanotubes and Porous Structures (2023) Micromachines, 14 (7), Статья № 1288",Статья
10.3390/fire6070248,6,Shvetsov, A.V.,2,"Department of Smart Technologies, Faculty of Transport",0.08,2023,ID2S4FH: A Novel Framework of Intelligent Decision Support System for Fire Hazards,Fire,"Kumar, K., Rajput, N.S., Shvetsov, A.V., Saif, A., Sahal, R., Alsamhi, S.H. ID2S4FH: A Novel Framework of Intelligent Decision Support System for Fire Hazards (2023) Fire, 6 (7), Статья № 248",Статья
10.3390/coatings13071156,14,Litvinov, A.P.,1,Department of Technological Systems,0.07,2023,Evolution of the Growth of a Micro-Nano Crystalline Diamond Film on an Axial Carbide Tool Model in Microwave Plasma,Coatings,"Ashkinazi, E.E., Fedorov, S.V., Martyanov, A.K., Sedov, V.S., Popovich, A.F., Bolshakov, A.P., Sovyk, D.N., Ryzhkov, S.G., Khomich, A.A., Zavedeev, E.V., Litvinov, A.P., Yurov, V.Y., Grigoriev, S.N., Konov, V.I. Evolution of the Growth of a Micro-Nano Crystalline Diamond Film on an Axial Carbide Tool Model in Microwave Plasma (2023) Coatings, 13 (7), Статья № 1156",Статья
10.3390/a16070337,5,Kudryashov, A.,2,"Institute of Geosphere Dynamics, Department of Physics",0.1,2023,A Hybrid Model for Analysis of Laser Beam Distortions Using Monte Carlo and Shack–Hartmann Techniques: Numerical Study and Experimental Results,Algorithms,"Galaktionov, I., Sheldakova, J., Nikitin, A., Toporovsky, V., Kudryashov, A. A Hybrid Model for Analysis of Laser Beam Distortions Using Monte Carlo and Shack–Hartmann Techniques: Numerical Study and Experimental Results (2023) Algorithms, 16 (7), Статья № 337",Статья
10.1007/s11015-023-01526-z,6,"Golik, Klyuev"," V.I.,  R.V.",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.33,2023,Efficiency Gains When Using Activated Mill Tailings in Underground Mining,Metallurgist,"Brigida, V.S., Golik, V.I., Klyuev, R.V., Sabirova, L.B., Mambetalieva, A.R., Karlina, Y.I. Efficiency Gains When Using Activated Mill Tailings in Underground Mining (2023) Metallurgist, 67 (3-4), pp. 398-408",Статья
10.1007/s11015-023-01516-1,3,"Shatalov, Tran"," R.L.,  V.Q.",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.67,2023,Investigation of Hardening Curves and Mechanical Properties of Copper Alloy M0 Depending on the Degree of Deformation During Cold Rolling of Strips,Metallurgist,"Shatalov, R.L., Tran, V.Q., Pham, V.H. Investigation of Hardening Curves and Mechanical Properties of Copper Alloy M0 Depending on the Degree of Deformation During Cold Rolling of Strips (2023) Metallurgist, 67 (3-4), pp. 289-296",Статья
10.3390/en16135046,8,Voitovich, E.V.,1,Department of Industrial and Civil Engineering,0.12,2023,Designing the Optimal Configuration of a Small Power System for Autonomous Power Supply of Weather Station Equipment,Energies,"Malozyomov, B.V., Martyushev, N.V., Voitovich, E.V., Kononenko, R.V., Konyukhov, V.Y., Tynchenko, V., Kukartsev, V.A., Tynchenko, Y.A. Designing the Optimal Configuration of a Small Power System for Autonomous Power Supply of Weather Station Equipment (2023) Energies, 16 (13), Статья № 5046",Статья
10.3390/en16135183,2,Maklakov, A.S.,1,Project Activity Center,0.5,2023,Study of Behavior of Voltage and Current Spectra of Three-Level Neutral Point Clamped Converter at Selected Harmonic Elimination Programmed Pulse Pattern Pulse-Width Modulation,Energies,"Maklakov, A.S., Erdakov, I.N. Study of Behavior of Voltage and Current Spectra of Three-Level Neutral Point Clamped Converter at Selected Harmonic Elimination Programmed Pulse Pattern Pulse-Width Modulation (2023) Energies, 16 (13), Статья № 5183",Статья
10.1016/j.matdes.2023.112048,10,Yudin, S.,2,"National University of Science and Technology MISiS, Moscow Polytechnic University",0.05,2023,Mechanism and kinetics of high-temperature oxidation of medium- and high-entropy carbides in air,Materials and Design,"Yudin, S., Sedegov, A., Moskovskikh, D., Volodko, S., Kuskov, K., Suvorova, V., Danilova-Tretiak, S., Vorotilo, S., Nepapushev, A., Khort, A. Mechanism and kinetics of high-temperature oxidation of medium- and high-entropy carbides in air (2023) Materials and Design, 231, Статья № 112048",Статья
10.1016/j.solener.2023.04.051,7,Shvetsov, A.V.,2,"Department of Smart Technologies, Department of Transport",0.07,2023,An effective energy management Layout-Based reinforcement learning for household demand response in digital twin simulation,Solar Energy,"Liu, H., Liu, Q., Rao, C., Wang, F., Alsokhiry, F., Shvetsov, A.V., Mohamed, M.A. An effective energy management Layout-Based reinforcement learning for household demand response in digital twin simulation (2023) Solar Energy, 258, pp. 95-105",Статья
10.1007/s12633-023-02353-2,5,"Skvortsov, Nikolaev, Koryachko, Volkov"," A.A.,  V.K.,  M.V.,  E.I.",1,"Department of Dynamics and Strength of Machines and Materials, Department of Dynamics and Strength of Machines and Materials, Department of Dynamics and Strength of Machines and Materials, Department of Dynamics and Strength of Machines and Materials",0.8,2023,Analysis of Thermomechanical Stresses in Silicon During Heating of Aluminum Interconnects on its Surface by a Pulse Current,Silicon,"Skvortsov, A.A., Nikolaev, V.K., Koryachko, M.V., Skvortsov, P.A., Volkov, E.I. Analysis of Thermomechanical Stresses in Silicon During Heating of Aluminum Interconnects on its Surface by a Pulse Current (2023) Silicon, 15 (10), pp. 4417-4424",Статья
10.1016/j.jallcom.2023.169421,9,Nalivaiko, A.Y.,2,"National University of Science and Technology MISIS, Moscow Polytechnic University",0.06,2023,Laser powder bed fusion of AlSi10Mg-based composites with graphene and nanodiamond additions,Journal of Alloys and Compounds,"Spierings, A.B., Ozherelkov, D.Y., Kneubühler, F., Eremin, S.A., Pelevin, I.A., Nalivaiko, A.Y., Petrov, E.A., Gromov, A.A., Wegener, K. Laser powder bed fusion of AlSi10Mg-based composites with graphene and nanodiamond additions (2023) Journal of Alloys and Compounds, 947, Статья № 169421",Статья
10.3329/bjms.v22i3.66966,1,Polevoy, G.G.,1,"Department of Physical Education, Department of Physical Education",0.5,2023,Stributing the Attention of Schoolchildren and Its Development with the Help of Classical Exercises,Bangladesh Journal of Medical Science,"Polevoy, G.G. Stributing the Attention of Schoolchildren and Its Development with the Help of Classical Exercises (2023) Bangladesh Journal of Medical Science, 22 (3), pp. 604-611",Статья
10.3329/bjms.v22i3.65334,1,Polevoy, G.G.,1,"Department of Physical Education, Department of Physical Education",0.5,2023,The influence of physical activity on the thinking of schoolchildren,Bangladesh Journal of Medical Science,"Polevoy, G.G. The influence of physical activity on the thinking of schoolchildren (2023) Bangladesh Journal of Medical Science, 22 (3), pp. 612-616",Статья
10.1134/S0036029523060344,3,"Ovchinnikov, Sbitnev, Polyakov"," V.V.,  A.G.,  D.A.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Effect of Fusion Welding on the Properties of 1915T Aluminum Alloy Joints,Russian Metallurgy (Metally),"Ovchinnikov, V.V., Sbitnev, A.G., Polyakov, D.A. Effect of Fusion Welding on the Properties of 1915T Aluminum Alloy Joints (2023) Russian Metallurgy (Metally), 2023 (6), pp. 736-742",Статья
10.1134/S003602952306006X,4,Silenskii, M.I.,1,Moscow Polytechnic University,0.25,2023,"Microstructure, Alloying Elements, and Phase Distribution in ZhS6U Alloy Samples Sintered from the Powders Fabricated by Electroerosion Dispersion of Waste",Russian Metallurgy (Metally),"Ageev, E.V., Ageeva, E.V., Podanov, V.O., Silenskii, M.I. Microstructure, Alloying Elements, and Phase Distribution in ZhS6U Alloy Samples Sintered from the Powders Fabricated by Electroerosion Dispersion of Waste (2023) Russian Metallurgy (Metally), 2023 (6), pp. 847-850",Статья
10.1134/S0036029523060332,5,"Ovchinnikov, Yakutina, Uchevatkina, Luk’yanenko, Sbitnev"," V.V.,  S.V.,  N.V.,  E.V.,  A.G.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Structure and Properties of a Grade 1420 Aluminum Alloy after Argon Ion Irradiation,Russian Metallurgy (Metally),"Ovchinnikov, V.V., Yakutina, S.V., Uchevatkina, N.V., Luk’yanenko, E.V., Sbitnev, A.G. Structure and Properties of a Grade 1420 Aluminum Alloy after Argon Ion Irradiation (2023) Russian Metallurgy (Metally), 2023 (6), pp. 709-715",Статья
10.1134/S0036029523060319,4,"Latypov, Latypova, Alsobkh"," R.A.,  G.R.,  M.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",0.75,2023,Formation of a Coating and Its Joint with the Base during the Reconditioning of Bronze Parts by Electrocontact Welding of Woven Metal Gauze,Russian Metallurgy (Metally),"Natalenko, V.S., Latypov, R.A., Latypova, G.R., Alsobkh, M. Formation of a Coating and Its Joint with the Base during the Reconditioning of Bronze Parts by Electrocontact Welding of Woven Metal Gauze (2023) Russian Metallurgy (Metally), 2023 (6), pp. 855-859",Статья
10.1134/S0031918X23600835,6,Zadorozhnyi, M.Y.,1,Moscow Polytechnic University,0.17,2023,The Effect of High-Pressure Torsion on the Structure and Mechanical Properties of the Al–Ca–Cu Alloy,Physics of Metals and Metallography,"Rogachev, S.O., Naumova, E.A., Tabachkova, N.Y., Ten, D.V., Sundeev, R.V., Zadorozhnyi, M.Y. The Effect of High-Pressure Torsion on the Structure and Mechanical Properties of the Al–Ca–Cu Alloy (2023) Physics of Metals and Metallography, 124 (6), pp. 632-638",Статья
10.1103/PhysRevMaterials.7.063603,5,Golovin, I.S.,3,"Joint Institute for Nuclear Research, National University of Science and Technology, Moscow Polytechnic University",0.07,2023,Structural and magnetic phase transitions in Fe3Ge: A neutron diffraction study,Physical Review Materials,"Balagurov, A.M., Samoylova, N.Y., Sumnikov, S.V., Palacheva, V.V., Golovin, I.S. Structural and magnetic phase transitions in Fe3Ge: A neutron diffraction study (2023) Physical Review Materials, 7 (6), Статья № 63603",Статья
10.3390/s23125419,5,Shvetsov, A.V.,2,"Department of Smart Technologies, Faculty of Transport",0.1,2023,A Smart Card-Based Two-Factor Mutual Authentication Scheme for Efficient Deployment of an IoT-Based Telecare Medical Information System,Sensors,"Khan, M.A., Alhakami, H., Alhakami, W., Shvetsov, A.V., Ullah, I. A Smart Card-Based Two-Factor Mutual Authentication Scheme for Efficient Deployment of an IoT-Based Telecare Medical Information System (2023) Sensors, 23 (12), Статья № 5419",Статья
10.3390/membranes13060586,10,Milovich, F.,2,"Department of Materials Science, Department of Materials Science of Semiconductors and Dielectrics",0.05,2023,Long-Term Conductivity Stability of Electrolytic Membranes of Scandia Stabilized Zirconia Co-Doped with Ytterbia,Membranes,"Agarkov, D., Borik, M., Komarov, B., Korableva, G., Kulebyakin, A., Kuritsyna, I., Lomonova, E., Milovich, F., Myzina, V., Tabachkova, N. Long-Term Conductivity Stability of Electrolytic Membranes of Scandia Stabilized Zirconia Co-Doped with Ytterbia (2023) Membranes, 13 (6), Статья № 586",Статья
10.3390/met13061084,9,Nalivaiko, A.Y.,1,Directorate of Science,0.11,2023,New Scanning Strategy Approach for Laser Powder Bed Fusion of Nd-Fe-B Hard Magnetic Material,Metals,"Pelevin, I.A., Terekhin, E.A., Ozherelkov, D.Y., Tereshina, I.S., Karpenkov, D.Y., Bochkanov, F.Y., Chernyshikhin, S.V., Nalivaiko, A.Y., Gromov, A.A. New Scanning Strategy Approach for Laser Powder Bed Fusion of Nd-Fe-B Hard Magnetic Material (2023) Metals, 13 (6), Статья № 1084",Статья
10.3390/en16124630,6,Radionov, A.A.,1,Department of Automation and Control,0.17,2023,Method for Forecasting the Remaining Useful Life of a Furnace Transformer Based on Online Monitoring Data,Energies,"Radionov, A.A., Liubimov, I.V., Yachikov, I.M., Abdulveleev, I.R., Khramshina, E.A., Karandaev, A.S. Method for Forecasting the Remaining Useful Life of a Furnace Transformer Based on Online Monitoring Data (2023) Energies, 16 (12), Статья № 4630",Статья
10.3390/designs7030062,3,"Maklakov, Lisovskaya"," A.S.,  T.A.",2,"Project Activity Center, Department of Automation and Control",0.67,2023,Control over Grid Reactive Power by Using a Powerful Regenerative Controlled-Speed Synchronous Motor Drive,Designs,"Maklakov, A.S., Nikolaev, A.A., Lisovskaya, T.A. Control over Grid Reactive Power by Using a Powerful Regenerative Controlled-Speed Synchronous Motor Drive (2023) Designs, 7 (3), Статья № 62",Статья
10.13187/bg.2023.2.650,4,"Kokorina, Vagabov"," Y.G.,  M.M.",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.5,2023,The Concept of Teaching Archaeology by I.E. Zabelin [Концепция преподавания археологии И.Е. Забелина],Bylye Gody,"Kokorina, Y.G., Khanbalaeva, S.N., Abdullayev, U.I., Vagabov, M.M. The Concept of Teaching Archaeology by I.E. Zabelin [Концепция преподавания археологии И.Е. Забелина] (2023) Bylye Gody, 18 (2), pp. 650-661",Статья
10.13187/bg.2023.2.609,4,"Kokorina, Vagabov"," Y.G.,  M.M.",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.5,2023,“Archaeology in a Broad Sense Contains a Source of Knowledge of National Identity” (I.E. Zabelin on the Tasks of Archaeology (based on Archival Materials)) [«Археология в обширном смысле заключает в себе источник познания народной самобытности» (И.Е. Забелин о задачах археологии (по архивным материалам))],Bylye Gody,"Kokorina, Y.G., Abdullayev, U.I., Vagabov, M.M., Kozukhov, V. “Archaeology in a Broad Sense Contains a Source of Knowledge of National Identity” (I.E. Zabelin on the Tasks of Archaeology (based on Archival Materials)) [«Археология в обширном смысле заключает в себе источник познания народной самобытности» (И.Е. Забелин о задачах археологии (по архивным материалам))] (2023) Bylye Gody, 18 (2), pp. 609-618",Статья
10.3103/S1052618823030135,4,"Petrov, Fam, Burlakov, Nguyen"," P.A.,  V.N.,  I.A.,  K.T.",2,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Salyut Machine Building Production Association AO ODK, Moscow Polytechnic University",0.88,2023,Shape Formation of Hybrid Workpieces from Aluminum Alloys by Torsional Upsetting,Journal of Machinery Manufacture and Reliability,"Petrov, P.A., Fam, V.N., Burlakov, I.A., Nguyen, K.T. Shape Formation of Hybrid Workpieces from Aluminum Alloys by Torsional Upsetting (2023) Journal of Machinery Manufacture and Reliability, 52 (3), pp. 286-291",Статья
10.3103/S1052618823030111,4,Maistruk, A.V.,1,Moscow Polytechnic University,0.25,2023,Structural Adaptation of the Safety Control Program of the Technical State of a Complex Technical System,Journal of Machinery Manufacture and Reliability,"Maistruk, A.V., Lushpa, E.Y., Erofeev, M.N., Spiryagin, V.V. Structural Adaptation of the Safety Control Program of the Technical State of a Complex Technical System (2023) Journal of Machinery Manufacture and Reliability, 52 (3), pp. 262-270",Статья
10.3390/en16114276,7,Golik, V.I.,1,Department “Technique and Technology of Mining and Oil and Gas Production”,0.14,2023,Substantiation of Drilling Parameters for Undermined Drainage Boreholes for Increasing Methane Production from Unconventional Coal-Gas Collectors,Energies,"Malozyomov, B.V., Golik, V.I., Brigida, V., Kukartsev, V.V., Tynchenko, Y.A., Boyko, A.A., Tynchenko, S.V. Substantiation of Drilling Parameters for Undermined Drainage Boreholes for Increasing Methane Production from Unconventional Coal-Gas Collectors (2023) Energies, 16 (11), Статья № 4276",Статья
10.1016/j.scriptamat.2023.115391,7,Golovin, I.S.,2,"National University of Science and Technology “MISIS”, Moscow Polytechnic University",0.07,2023,The role of H-phase in thermal hysteresis and shape memory properties in Ni50Ti30Hf20alloy,Scripta Materialia,"Shuitcev, A.V., Khomutov, M.G., Vasin, R.N., Li, L., Golovin, I.S., Zheng, Y.F., Tong, Y.X. The role of H-phase in thermal hysteresis and shape memory properties in Ni50Ti30Hf20alloy (2023) Scripta Materialia, 230, Статья № 115391",Статья
10.1007/s10556-023-01202-8,4,"Romanyuk, Lagutkin, Dsnilenko, Sokolov"," R.V.,  M.G.,  N.V.,  A.S.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Calculation of Flow Characteristics and Separation Coefficients of a Vortex Dust Collector of a New Design,Chemical and Petroleum Engineering,"Romanyuk, R.V., Lagutkin, M.G., Dsnilenko, N.V., Sokolov, A.S. Calculation of Flow Characteristics and Separation Coefficients of a Vortex Dust Collector of a New Design (2023) Chemical and Petroleum Engineering, 59 (1-2), pp. 12-18",Статья
10.1007/s10556-023-01218-0,3,"Sapozhnikov, Ugolnikova, Chernyavskaya"," V.B.,  M.A.,  V.V.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Evaluating the Performance of Low-Temperature Liquid Separation Devices with Two-Stage Refrigeration and Pre-Cooling,Chemical and Petroleum Engineering,"Sapozhnikov, V.B., Ugolnikova, M.A., Chernyavskaya, V.V. Evaluating the Performance of Low-Temperature Liquid Separation Devices with Two-Stage Refrigeration and Pre-Cooling (2023) Chemical and Petroleum Engineering, 59 (1-2), pp. 134-138",Статья
10.24000/0409-2961-2023-5-15-19,2,"Liskova, Golik"," M.Yu.,  V.I.",2,"Moscow Polytechnic University, Perm National Research Polytechnic University, Moscow Polytechnic University, Perm National Research Polytechnic University",0.5,2023,Regularities of Aerogasodynamic Processes During the Underground Fires,Bezopasnost' Truda v Promyshlennosti,"Liskova, M.Yu., Golik, V.I. Regularities of Aerogasodynamic Processes During the Underground Fires (2023) Bezopasnost' Truda v Promyshlennosti, 2023 (5), pp. 15-19",Статья
10.3390/math11102345,7,"Klyuev, Mengxu"," R.V.,  Q.",1,"Technique and Technology of Mining and Oil and Gas Production Department, Technique and Technology of Mining and Oil and Gas Production Department",0.29,2023,Mathematical Modeling and Multi-Criteria Optimization of Design Parameters for the Gyratory Crusher,Mathematics,"Kondrakhin, V.P., Martyushev, N.V., Klyuev, R.V., Sorokova, S.N., Efremenkov, E.A., Valuev, D.V., Mengxu, Q. Mathematical Modeling and Multi-Criteria Optimization of Design Parameters for the Gyratory Crusher (2023) Mathematics, 11 (10), Статья № 2345",Статья
10.1007/s11015-023-01493-5,5,"Golik, Klyuev"," V.I.,  R.V.",2,"Moscow Polytechnic University, Geophysical Institute of Vladikavkaz Scientific Center, Moscow Polytechnic University",0.3,2023,Prospects for Return of Valuable Components Lost in Tailings of Light Metals Ore Processing,Metallurgist,"Golik, V.I., Klyuev, R.V., Martyushev, N.V., Zyukin, D.A., Karlina, A.I. Prospects for Return of Valuable Components Lost in Tailings of Light Metals Ore Processing (2023) Metallurgist, 67 (1-2), pp. 96-103",Статья
10.3390/cryst13050825,7,Klyuev, R.V.,1,Technique and Technology of Mining and Oil and Gas Production Department,0.14,2023,Morphological Features of Polycrystalline CdS1−xSex Films Obtained by Screen-Printing Method,Crystals,"Strateichuk, D.M., Martyushev, N.V., Klyuev, R.V., Gladkikh, V.A., Kukartsev, V.V., Tynchenko, Y.A., Karlina, A.I. Morphological Features of Polycrystalline CdS1−xSex Films Obtained by Screen-Printing Method (2023) Crystals, 13 (5), Статья № 825",Статья
10.3390/s23104885,6,Shvetsov, A.V.,2,"Department of Smart Technologies, Department of Transport",0.08,2023,An IoT-Enabled E-Nose for Remote Detection and Monitoring of Airborne Pollution Hazards Using LoRa Network Protocol,Sensors,"Kumar, K., Chaudhri, S.N., Rajput, N.S., Shvetsov, A.V., Sahal, R., Alsamhi, S.H. An IoT-Enabled E-Nose for Remote Detection and Monitoring of Airborne Pollution Hazards Using LoRa Network Protocol (2023) Sensors, 23 (10), Статья № 4885",Статья
10.1007/s10692-023-10413-x,2,"Nazarov, Dedov"," V.G.,  A.V.",1,"Moscow Polytechnic University (Moskovskii Politekhnicheskii Universitet), Moscow Polytechnic University (Moskovskii Politekhnicheskii Universitet)",1.0,2023,Effect of Punch Density on Mechanical Properties of Needle-Punched Nonwoven Fabric Having High Surface Density,Fibre Chemistry,"Nazarov, V.G., Dedov, A.V. Effect of Punch Density on Mechanical Properties of Needle-Punched Nonwoven Fabric Having High Surface Density (2023) Fibre Chemistry, 54 (6), pp. 384-387",Статья
10.3390/jfb14050271,11,Yudin, S.,3,"Directorate, Mechanical Engineering and Materials Science Department, Center for Project Activities of the Moscow Polytechnic University",0.03,2023,Fabrication of Biomedical Ti-Zr-Nb by Reducing Metal Oxides with Calcium Hydride,Journal of Functional Biomaterials,"Yudin, S., Alimov, I., Volodko, S., Gurianov, A., Markova, G., Kasimtsev, A., Sviridova, T., Permyakova, D., Evstratov, E., Cheverikin, V., Moskovskikh, D. Fabrication of Biomedical Ti-Zr-Nb by Reducing Metal Oxides with Calcium Hydride (2023) Journal of Functional Biomaterials, 14 (5), Статья № 271",Статья
10.1007/s10692-023-10412-y,4,"Dedov, Nazarov"," A.V.,  V.G.",1,"Moscow Polytechnic University (Moskovskii Politekhnicheskii Universitet), Moscow Polytechnic University (Moskovskii Politekhnicheskii Universitet)",0.5,2023,Mechanical Properties of Needle-Punched Polymer Nonwoven Fabrics Under Constant Load,Fibre Chemistry,"Leshchenko, T.A., Chernousova, N.V., Dedov, A.V., Nazarov, V.G. Mechanical Properties of Needle-Punched Polymer Nonwoven Fabrics Under Constant Load (2023) Fibre Chemistry, 54 (6), pp. 380-383",Статья
10.1016/j.omx.2023.100237,14,Selyukov, A.S.,4,"P.N. Lebedev Physical Institute of the Russian Academy of Sciences, Bauman Moscow State Technical University, All-Russian Institute for Scientific and Technical Information (VINITI) of the Russian Academy of Sciences, Moscow Polytechnic University",0.02,2023,Ultrafast and slow luminescence decays at energy transfer from impurity-bound excitons,Optical Materials: X,"Danilkin, M.I., Vereschagina, N.Y., Vainer, Y.G., Kochiev, M.V., Ambrozevich, S.A., Romet, I., Mändar, H., Morozov, A.N., Repeev, Y.A., Spassky, D.A., Shutov, A.V., Seleznev, L.V., Mokrousova, D.V., Selyukov, A.S. Ultrafast and slow luminescence decays at energy transfer from impurity-bound excitons (2023) Optical Materials: X, 18, Статья № 100237",Статья
10.3390/ma16093490,7,Klyuev, R.V.,1,Technique and Technology of Mining and Oil and Gas Production Department,0.14,2023,Provision of Rational Parameters for the Turning Mode of Small-Sized Parts Made of the 29 NK Alloy and Beryllium Bronze for Subsequent Thermal Pulse Deburring,Materials,"Martyushev, N.V., Bublik, D.A., Kukartsev, V.V., Tynchenko, V.S., Klyuev, R.V., Tynchenko, Y.A., Karlina, Y.I. Provision of Rational Parameters for the Turning Mode of Small-Sized Parts Made of the 29 NK Alloy and Beryllium Bronze for Subsequent Thermal Pulse Deburring (2023) Materials, 16 (9), Статья № 3490",Статья
10.3390/en16093909,8,Klyuev, R.V.,1,Technique and Technology of Mining and Oil and Gas Production Department,0.12,2023,Study of Supercapacitors Built in the Start-Up System of the Main Diesel Locomotive,Energies,"Malozyomov, B.V., Martyushev, N.V., Kukartsev, V.A., Kukartsev, V.V., Tynchenko, S.V., Klyuev, R.V., Zagorodnii, N.A., Tynchenko, Y.A. Study of Supercapacitors Built in the Start-Up System of the Main Diesel Locomotive (2023) Energies, 16 (9), Статья № 3909",Статья
10.1016/j.heliyon.2023.e15797,4,"Skvortsov, Pshonkin, Volodina, Nikolaev"," A.A.,  D.E.,  O.V.,  V.K.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Metallization system as a part of thermal memory,Heliyon,"Skvortsov, A.A., Pshonkin, D.E., Volodina, O.V., Nikolaev, V.K. Metallization system as a part of thermal memory (2023) Heliyon, 9 (5), Статья № e15797",Статья
10.1007/s10527-023-10260-4,6,Istomina, T.V.,2,"Department of SMART Technologies, Department of Basic Radio Technology",0.08,2023,A Fiber-Optic Scanner for Determining the Morphometric Parameters of the Palate in Patients,Biomedical Engineering,"Murashkina, T.I., Badeeva, E.A., Istomina, T.V., Gaivoronskaya, T.V., Plotnikova, E.Y., Parshikova, T.V. A Fiber-Optic Scanner for Determining the Morphometric Parameters of the Palate in Patients (2023) Biomedical Engineering, 57 (1), pp. 18-22",Статья
10.1016/j.mechrescom.2023.104071,4,"Skvortsov, Pshonkin, Nikolaev, Kulakov"," A.A.,  D.E.,  V.K.,  P.A.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Effect of magnetic fields on the formation of the neck of a flat aluminum sample with inclusions during stretching,Mechanics Research Communications,"Skvortsov, A.A., Pshonkin, D.E., Nikolaev, V.K., Kulakov, P.A. Effect of magnetic fields on the formation of the neck of a flat aluminum sample with inclusions during stretching (2023) Mechanics Research Communications, 129, Статья № 104071",Статья
10.26668/revistajur.2316-753X.v2i74.6346,5,Gorokhova, A.,1,Moscow Polytechnic University,0.2,2023,PREDICTING KEY INTEREST RATES: A REGULATORY FRAMEWORK FOR MANAGING INFLATION [PREVENÇÃO DAS PRINCIPAIS TAXAS DE JUROS: UM QUADRO REGULATÓRIO PARA ADMINISTRAR A INFLAÇÃO] [PREDICTING KEY INTEREST RATES: A REGULATORY FRAMEWORK FOR MANAGING INFLATION],Revista Juridica,"Demina, T., Vysotskaya, N., Vilisova, M., Sekerin, V., Gorokhova, A. PREDICTING KEY INTEREST RATES: A REGULATORY FRAMEWORK FOR MANAGING INFLATION [PREVENÇÃO DAS PRINCIPAIS TAXAS DE JUROS: UM QUADRO REGULATÓRIO PARA ADMINISTRAR A INFLAÇÃO] [PREDICTING KEY INTEREST RATES: A REGULATORY FRAMEWORK FOR MANAGING INFLATION] (2023) Revista Juridica, 2 (74), Статья № e-6346",Статья
10.3103/S0967091223040046,4,"Shulgin, Volgina"," A.V.,  N.I.",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.5,2023,Controlled Coil Chilling As Backbone Link in Hot-Rolled Sheet and Plate Steel Production,Steel in Translation,"Chashchin, V.V., Kuklev, A.V., Shulgin, A.V., Volgina, N.I. Controlled Coil Chilling As Backbone Link in Hot-Rolled Sheet and Plate Steel Production (2023) Steel in Translation, 53 (4), pp. 347-350",Статья
10.3103/S0967091223040149,3,"Petrov, Efimov"," A.N.,  V.E.",1,"FSBEI HE “Moscow Polytechnical University”, FSBEI HE “Moscow Polytechnical University”",0.67,2023,Study of the Influence of the Composition of Powder Compositions on the Pressing Process,Steel in Translation,"Petrov, A.N., Efimov, V.E., Valevskii, T.R. Study of the Influence of the Composition of Powder Compositions on the Pressing Process (2023) Steel in Translation, 53 (4), pp. 314-318",Статья
10.24000/0409-2961-2023-4-51-58,4,Golik, V.I.,2,"SRSPU(NPI), Moscow Polytechnic University",0.12,2023,Improvement of the Occupational Safety in Industry by Recycling Ore Processing Waste,Bezopasnost' Truda v Promyshlennosti,"Golik, V.I., Razorenov, Y.I., Titova, A.V., Maslennikov, S.A. Improvement of the Occupational Safety in Industry by Recycling Ore Processing Waste (2023) Bezopasnost' Truda v Promyshlennosti, 2023 (4), pp. 51-58",Статья
