Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Ссылка,Организации,Авторы организаций,Тип документа,Источник,EID
"Martishkin V.V., Savostikova O.G., Yudaev S.N.","57406938500;58617422400;57866810000;","Possibility of Achieving Guaranteed Reliability of Mechanical Products for Set Service Life",2023,"Lecture Notes in Mechanical Engineering",,,,"178","187",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172179355&doi=10.1007%2f978-3-031-38126-3_19&partnerID=40&md5=0d900feee62f74216661ee67d4b04597","Moscow Polytechnic University, 38, Bolshaya Semyonovskaya Str., Moscow, 107023, Russian Federation","Martishkin, V.V., Moscow Polytechnic University, 38, Bolshaya Semyonovskaya Str., Moscow, 107023, Russian Federation; Savostikova, O.G., Moscow Polytechnic University, 38, Bolshaya Semyonovskaya Str., Moscow, 107023, Russian Federation; Yudaev, S.N., Moscow Polytechnic University, 38, Bolshaya Semyonovskaya Str., Moscow, 107023, Russian Federation",Conference Paper,Scopus,2-s2.0-85172179355
"Ershov D.S., Levina T.A., Malahov A.V., Khayrullin R.Z., Galishnikov A.A.","57866408900;56328021300;58036826500;57192376351;58618261000;","To the Design of Medium- and Long-Term Programs of Innovative Development of Some Areas of Mechanical Engineering",2023,"Lecture Notes in Mechanical Engineering",,,,"540","552",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172177628&doi=10.1007%2f978-3-031-38126-3_54&partnerID=40&md5=f970893cabcf0625a1fb21ea8d1904be","Moscow Polytechnic University, 38, Bolshaya Semenovskaya st., Moscow, 107023, Russian Federation; Metrology Scientific Head Center, 13, Komarova Street, Moscow Region, Mytischy, 141000, Russian Federation; Moscow State University of Civil Engineering, 26, Yaroslavskoye shosse, Moscow, 129337, Russian Federation","Ershov, D.S., Moscow Polytechnic University, 38, Bolshaya Semenovskaya st., Moscow, 107023, Russian Federation, Metrology Scientific Head Center, 13, Komarova Street, Moscow Region, Mytischy, 141000, Russian Federation; Levina, T.A., Metrology Scientific Head Center, 13, Komarova Street, Moscow Region, Mytischy, 141000, Russian Federation; Malahov, A.V., Moscow Polytechnic University, 38, Bolshaya Semenovskaya st., Moscow, 107023, Russian Federation, Metrology Scientific Head Center, 13, Komarova Street, Moscow Region, Mytischy, 141000, Russian Federation; Khayrullin, R.Z., Metrology Scientific Head Center, 13, Komarova Street, Moscow Region, Mytischy, 141000, Russian Federation; Galishnikov, A.A., Moscow State University of Civil Engineering, 26, Yaroslavskoye shosse, Moscow, 129337, Russian Federation",Conference Paper,Scopus,2-s2.0-85172177628
"Radionov A.A.","6701841785;","Preface",2023,"Lecture Notes in Mechanical Engineering",,,,"v","vi",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172176000&partnerID=40&md5=5947827df7cb1159dad572fae950a050","Moscow Polytechnic University, Moscow, Russian Federation","Radionov, A.A., Moscow Polytechnic University, Moscow, Russian Federation",Editorial,Scopus,2-s2.0-85172176000
"Vartanov M.V., Van Linh N.","6507594075;58616350800;","Determination of the Friction Coefficient Using a Force Torque Sensor During the Robotic Assembly of a Non-rigid Shaft with a Rigid Sleeve",2023,"Lecture Notes in Mechanical Engineering",,,,"521","529",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172172583&doi=10.1007%2f978-3-031-38126-3_52&partnerID=40&md5=eec08835e5c61c0a13289de9dc998cbc","Moscow Polytech University, 38, st. B. Semenovskaya, Moscow, 107023, Russian Federation","Vartanov, M.V., Moscow Polytech University, 38, st. B. Semenovskaya, Moscow, 107023, Russian Federation; Van Linh, N., Moscow Polytech University, 38, st. B. Semenovskaya, Moscow, 107023, Russian Federation",Conference Paper,Scopus,2-s2.0-85172172583
"Golik V.I., Dedegkaeva N.T., Kozhiev K.Kh., Belodedov A.A.","6602135324;57365741500;58611776700;57200506510;","Resource-saving technology of tailings utilization of non-ferrous metals beneficiation",2023,"Sustainable Development of Mountain Territories","15","2",,"226","232",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171886151&doi=10.21177%2f1998-4502-2023-15-2-225-23&partnerID=40&md5=1140a65c0a216a5bf03ab6d1d56e3796","North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, 362021, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation; South Russian State Polytechnic University, Rostov Region, Novocherkassk, 346428, Russian Federation","Golik, V.I., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Dedegkaeva, N.T., North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, 362021, Russian Federation; Kozhiev, K.Kh., North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, 362021, Russian Federation; Belodedov, A.A., South Russian State Polytechnic University, Rostov Region, Novocherkassk, 346428, Russian Federation",Article,Scopus,2-s2.0-85171886151
"Muratov D.G., Kozhitov L.V., Popkova A.V., Korovin E.Yu., Yakushko E.V., Bakirov M.R.","14039639800;6507428531;55830683500;16022618900;57194698750;58609234700;","STUDY OF THE RADAR ABSORPTION OF METAL-CARBON NANOCOMPOSITES (REVIEW) [ИССЛЕДОВАНИЕ РАДИОПОГЛОЩЕНИЯ МЕТАЛЛ-УГЛЕРОДНЬК НАНОКОМПОЗИТОВ (ОБЗОР)]",2023,"Industrial Laboratory. Materials Diagnostics","89","1",,"35","45",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171775086&doi=10.26896%2f1028-6861-2023-89-l-35-45&partnerID=40&md5=360b5e89c24063c3742faf878136ad7f","National Research Technological University ""MISiS"", 4, Leninsky prosp., Moscow, 119049, Russian Federation; А. V. Topchiev Institute of Petrochemical Synthesis, RAS, 29, Leninsky prosp., Moscow, 119991, Russian Federation; Nil NPO ""LUCH"", 24, Zheleznodorozhnaya ul Podolsk obi, Moscow, 142103, Russian Federation; National Research Tomsk State University, 36, prosp. Lenina, Tomsk, 634050, Russian Federation; Moscow Polytechnic University, 38, Bolshaya Semyonovskayaul., Moscow, 107023, Russian Federation","Muratov, D.G., National Research Technological University ""MISiS"", 4, Leninsky prosp., Moscow, 119049, Russian Federation, А. V. Topchiev Institute of Petrochemical Synthesis, RAS, 29, Leninsky prosp., Moscow, 119991, Russian Federation; Kozhitov, L.V., National Research Technological University ""MISiS"", 4, Leninsky prosp., Moscow, 119049, Russian Federation; Popkova, A.V., Nil NPO ""LUCH"", 24, Zheleznodorozhnaya ul Podolsk obi, Moscow, 142103, Russian Federation; Korovin, E.Yu., National Research Tomsk State University, 36, prosp. Lenina, Tomsk, 634050, Russian Federation; Yakushko, E.V., Moscow Polytechnic University, 38, Bolshaya Semyonovskayaul., Moscow, 107023, Russian Federation; Bakirov, M.R., National Research Technological University ""MISiS"", 4, Leninsky prosp., Moscow, 119049, Russian Federation",Review,Scopus,2-s2.0-85171775086
"Polevoy G.G., Sablin A.B., Chernyshev S.V.","57204190389;57713233100;58605120700;","INFLUENCE OF THE GAME «STANDARD CLASSICS» ON THE FORMATION OF THE RHYTHM OF JUNIOR SCHOOLCHILDREN",2023,"Teoriya i Praktika Fizicheskoy Kultury","2023","6",,"64","65",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171692242&partnerID=40&md5=deb0d3ec1d3893c6cb6f3e37fd1d0065","Moscow Polytechnic University, Moscow, Russian Federation; Moscow Technical University of Communications and Informatics, Moscow, Russian Federation","Polevoy, G.G., Moscow Polytechnic University, Moscow, Russian Federation, Moscow Technical University of Communications and Informatics, Moscow, Russian Federation; Sablin, A.B., Moscow Technical University of Communications and Informatics, Moscow, Russian Federation; Chernyshev, S.V., Moscow Technical University of Communications and Informatics, Moscow, Russian Federation",Article,Scopus,2-s2.0-85171692242
"Glushchenko V.V.","7004505884;","Ergo design in Project Management Based on the General Theory of Transport Systems in the Conditions of the 10th Technological Order",2023,"ASEAN Journal of Science and Engineering","3","3",,"289","300",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171356547&doi=10.17509%2fajse.v3i3.50799&partnerID=40&md5=683a282c26d3fd350826d680eed425e6","Department of Smart Technologies and the Center for Project Activities of the Moscow Polytechnic University, 38 Bolshaya Semyonovskaya str, Moscow, Russian Federation","Glushchenko, V.V., Department of Smart Technologies and the Center for Project Activities of the Moscow Polytechnic University, 38 Bolshaya Semyonovskaya str, Moscow, Russian Federation",Article,Scopus,2-s2.0-85171356547
"Abramkin N.I., Mansurov P.A., Kuzina A.V., Levkin Y.M.","57206661578;58078017800;57218871596;57297910200;","Justification of the roll crusher calculation parameters, taking into account the use of spar screen surface [Обоснование параметров расчета валковой дробилки с учетом применения шпальтовых просеивающих поверхностей]",2023,"Sustainable Development of Mountain Territories","15","2",,"473","481",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171286356&doi=10.21177%2f1998-4502-2023-15-2-473-481&partnerID=40&md5=44681fee7e6f778bdc99efb54bcd1cb5","Moscow Polytechnic University, Moscow, 107023, Russian Federation; National Research Technological University ""MISIS"", Moscow, 119049, Russian Federation","Abramkin, N.I., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Mansurov, P.A., National Research Technological University ""MISIS"", Moscow, 119049, Russian Federation; Kuzina, A.V., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Levkin, Y.M., Moscow Polytechnic University, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85171286356
"Sharipzyanova G.Kh., Eremeeva Z.V.","36107230000;6506655231;","Control of the operational properties of powder materials to increase the corrosion resistance and wear resistance of parts [Управление эксплуатационными свойствами порошковых материалов для повышения коррозионной стойкости и износостойкости деталей]",2023,"Sustainable Development of Mountain Territories","15","2",,"443","449",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171201105&doi=10.21177%2f1998-4502-2023-15-2-443-449&partnerID=40&md5=66bff579622d3c9c5054b27cc8567e87","Moscow Polytechnic University, Moscow, 107023, Russian Federation; National Research Technological University ""MISIS"", Moscow, 119049, Russian Federation","Sharipzyanova, G.Kh., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Eremeeva, Z.V., Moscow Polytechnic University, Moscow, 107023, Russian Federation, National Research Technological University ""MISIS"", Moscow, 119049, Russian Federation",Article,Scopus,2-s2.0-85171201105
"Golik V.I., Titova A.V., Titov G.","6602135324;57221530083;58576152800;","Hydrometallurgical processes in underground metal ore mining",2023,"Gornaya Promyshlennost","2023","2",,"85","92",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171168343&doi=10.30686%2f1609-9192-2023-2-85-92&partnerID=40&md5=25e0fa22a65dc50e7ad41acfeed0ae83","Nord-Caucasian State Technological University, Vladikavkaz, Russian Federation; Moscow State Polytechnic University, Moscow, Russian Federation; V.I. Vernadsky State Geological Museum of the Russian Academy of Sciences, Moscow, Russian Federation","Golik, V.I., Nord-Caucasian State Technological University, Vladikavkaz, Russian Federation, Moscow State Polytechnic University, Moscow, Russian Federation; Titova, A.V., Nord-Caucasian State Technological University, Vladikavkaz, Russian Federation, Moscow State Polytechnic University, Moscow, Russian Federation; Titov, G., V.I. Vernadsky State Geological Museum of the Russian Academy of Sciences, Moscow, Russian Federation",Article,Scopus,2-s2.0-85171168343
"Bosikov I.I., Klyuev R.V., Khetagurov V.N., Silaev I.V.","56919738300;57194206632;6507561296;57189031683;","Comprehensive assessment of hydrodynamic processes in the Klinskoye Quarry with the use of their control methods in rock masses [Комплексная оценка гидродинамических процессов на карьерах Клинского месторождения с помощью методов управления ими в массивах горных пород]",2023,"Sustainable Development of Mountain Territories","15","2",,"284","297",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170834852&doi=10.21177%2f1998-4502-2023-15-2-284-297&partnerID=40&md5=2690acc447db06c00209cca2ad05fa77","North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, 362021, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation; North Ossetian State University named after K. L. Khetagurov, Vladikavkaz, 362025, Russian Federation","Bosikov, I.I., North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, 362021, Russian Federation; Klyuev, R.V., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Khetagurov, V.N., North Caucasian Institute of Mining and Metallurgy (State Technological University), Vladikavkaz, 362021, Russian Federation; Silaev, I.V., North Ossetian State University named after K. L. Khetagurov, Vladikavkaz, 362025, Russian Federation",Article,Scopus,2-s2.0-85170834852
"Golik V.I.","6602135324;","CONTROLLING STRESS-DEFORMED TALNAKH ARRAYS BY STRESS UNLOADING [УПРАВЛЕНИЕ НАПРЯЖЕННО-ДЕФОРМИРОВАННЫМИ МАССИВАМИ ТАЛНАХА РАЗГРУЗКОЙ НАПРЯЖЕНИЙ]",2023,"Bulletin of the Tomsk Polytechnic University, Geo Assets Engineering","334","7",,"59","65",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170538984&doi=10.18799%2f24131830%2f2023%2f7%2f4074&partnerID=40&md5=4b847238a8d2882ef60d7a1a6d5ac9a5","Moscow Polytechnic University, 38, B. Semenovskaya street, Moscow, 107023, Russian Federation; Geophysical Institute of Vladikavkaz Scientific Center, 93a, Markov street, Vladikavkaz, 362002, Russian Federation","Golik, V.I., Moscow Polytechnic University, 38, B. Semenovskaya street, Moscow, 107023, Russian Federation, Geophysical Institute of Vladikavkaz Scientific Center, 93a, Markov street, Vladikavkaz, 362002, Russian Federation",Article,Scopus,2-s2.0-85170538984
"Filatov V.V., Mishakov V.Y.U., Korshik T.S., Ksenofontova K.H.Z., Gordeeva T.A., Dubonosova E.A.","57196124687;8636066300;58568133100;57220060022;57220342983;57189518754;","MODERN PROBLEMS OF CHANGE MANAGEMENT IN THE DRAFT STRATEGY FOR THE DEVELOPMENT OF LIGHT INDUSTRY IN THE RUSSIAN FEDERATION FOR THE PERIOD UP TO 2025 [СОВРЕМЕННЫЕ ПРОБЛЕМЫ УПРАВЛЕНИЯ ИЗМЕНЕНИЯМИ В ПРОЕКТЕ СТРАТЕГИИ РАЗВИТИЯ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ В РОССИЙСКОЙ ФЕДЕРАЦИИ НА ПЕРИОД ДО 2025 ГОДА]",2023,"Izvestiya Vysshikh Uchebnykh Zavedenii, Seriya Teknologiya Tekstil'noi Promyshlennosti",,"1",,"12","22",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170252574&doi=10.47367%2f0021-3497_2023_1_12&partnerID=40&md5=94cc44de723d4b34135257169f2cf373","A.N. Kosygin Russian State University, Technologies. Design. Art, Russian Federation; Moscow State University of Food Production, Russian Federation; Moscow Polytechnic University, Moscow Polytechnic University, Russian Federation; K.G. Razumovsky Moscow State University of Technologies and Management, The First Cossack University, Russian Federation","Filatov, V.V., A.N. Kosygin Russian State University, Technologies. Design. Art, Russian Federation; Mishakov, V.Y.U., A.N. Kosygin Russian State University, Technologies. Design. Art, Russian Federation; Korshik, T.S., Moscow State University of Food Production, Russian Federation; Ksenofontova, K.H.Z., Moscow Polytechnic University, Moscow Polytechnic University, Russian Federation; Gordeeva, T.A., K.G. Razumovsky Moscow State University of Technologies and Management, The First Cossack University, Russian Federation; Dubonosova, E.A., A.N. Kosygin Russian State University, Technologies. Design. Art, Russian Federation",Article,Scopus,2-s2.0-85170252574
"Tsapin D., Pitelinskiy K., Suvorov S., Osipov A., Pleshakova E., Gataullin S.","58560040900;57216807744;57224635836;57224632462;56471764200;57205436562;","Machine learning methods for the industrial robotic systems security",2023,"Journal of Computer Virology and Hacking Techniques",,,,"","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169592639&doi=10.1007%2fs11416-023-00499-6&partnerID=40&md5=fd99a9402460db89e22fe6c3e93645dd","Moscow Polytechnic University, Moscow, Russian Federation; Moscow Technical University of Communications and Informatics, Moscow, Russian Federation; MIREA - Russian Technological University, 78 Vernadsky Avenue, Moscow, 119454, Russian Federation","Tsapin, D., Moscow Polytechnic University, Moscow, Russian Federation; Pitelinskiy, K., Moscow Polytechnic University, Moscow, Russian Federation; Suvorov, S., Moscow Polytechnic University, Moscow, Russian Federation; Osipov, A., Moscow Technical University of Communications and Informatics, Moscow, Russian Federation; Pleshakova, E., MIREA - Russian Technological University, 78 Vernadsky Avenue, Moscow, 119454, Russian Federation; Gataullin, S., Moscow Technical University of Communications and Informatics, Moscow, Russian Federation",Article,Scopus,2-s2.0-85169592639
"Dzhancharova G., Kosheleva A., Drobysheva N., Pasternak S., Shelygov A., Lebedev K.","57224371002;58559657100;57204499159;57324415200;57213608772;57194226392;","ECONOMIC AND LEGAL ASPECTS OF FOREIGN ECONOMIC RISKS WITHIN THE FRAMEWORK OF SUSTAINABLE DEVELOPMENT OF RUSSIAN ENTERPRISES [ASPECTOS ECONÔMICOS E LEGAIS DOS RISCOS ECONÔMICOS EXTERNOS NO ÂMBITO DO DESENVOLVIMENTO SUSTENTÁVEL DAS EMPRESAS RUSSAS]",2023,"Journal of Law and Sustainable Development","11","3","e0317","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169581204&doi=10.55908%2fSDGS.V11I3.317&partnerID=40&md5=b8c501dcbb9856d9c6c3ade33d84076f","Economic Sciences, Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, Moscow, Russian Federation; Economic Sciences, The Financial University under the Goverment of the Russian Federation, Moscow, Russian Federation; Philological Sciences, The Financial University under the Goverment of the Russian Federation, Moscow, Russian Federation; Legal Sciences, Saint-Petersburg Mining University, Saint-Petersburg, Russian Federation; Economic Sciences, Moscow Polytechnic University, Moscow, Russian Federation; Economic Sciences, Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, The Financial University Government of the Russian Federation, Moscow, Russian Federation","Dzhancharova, G., Economic Sciences, Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, Moscow, Russian Federation; Kosheleva, A., Economic Sciences, The Financial University under the Goverment of the Russian Federation, Moscow, Russian Federation; Drobysheva, N., Philological Sciences, The Financial University under the Goverment of the Russian Federation, Moscow, Russian Federation; Pasternak, S., Legal Sciences, Saint-Petersburg Mining University, Saint-Petersburg, Russian Federation; Shelygov, A., Economic Sciences, Moscow Polytechnic University, Moscow, Russian Federation; Lebedev, K., Economic Sciences, Russian State Agrarian University, Moscow Timiryazev Agricultural Academy, The Financial University Government of the Russian Federation, Moscow, Russian Federation",Article,Scopus,2-s2.0-85169581204
"Yashkin V.V., Pitelinskiy K.V., Kesel S.A., Boyar-Sozonovitch A.S., Philippovich Y.N.","58114567800;57216807744;58102516700;57202859585;56441750400;","Evolution of Information Security in Banking: From Incident Monitoring to Business Continuity",2023,"Lecture Notes in Networks and Systems","723 LNNS",,,"518","537",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169002877&doi=10.1007%2f978-3-031-35317-8_47&partnerID=40&md5=20211fcbdc6da8b8fc8e1e9ed174b627","OJSC Ak Bars Holding, 1, Dekabristov Street, Kazan, 420066, Russian Federation; Moscow Polytechnic University, 38, Bol’shaya Semonovskaya Street, Moscow, 107023, Russian Federation; Moscow Aviation Institute (National Research University), 4, Volokolamskoe Highway, Moscow, 125993, Russian Federation","Yashkin, V.V., OJSC Ak Bars Holding, 1, Dekabristov Street, Kazan, 420066, Russian Federation; Pitelinskiy, K.V., Moscow Polytechnic University, 38, Bol’shaya Semonovskaya Street, Moscow, 107023, Russian Federation; Kesel, S.A., Moscow Polytechnic University, 38, Bol’shaya Semonovskaya Street, Moscow, 107023, Russian Federation; Boyar-Sozonovitch, A.S., Moscow Aviation Institute (National Research University), 4, Volokolamskoe Highway, Moscow, 125993, Russian Federation; Philippovich, Y.N., Moscow Polytechnic University, 38, Bol’shaya Semonovskaya Street, Moscow, 107023, Russian Federation",Conference Paper,Scopus,2-s2.0-85169002877
"Rubino R., Muda I., Almedee A., Alam S., Ali A.D., Sadikov R., Panova E.","58536208300;57219085312;58547758100;57222584333;58480273200;58259878600;57219895412;","Communication skills according to Islamic teachings and students’ life skills",2023,"HTS Teologiese Studies / Theological Studies","79","2","a8623","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168692575&doi=10.4102%2fhts.v79i2.8623&partnerID=40&md5=6f97f251ecf9c4092818d3c59f040330","Islamic Broadcasting Communications, Universitas Islam Negeri Sumatera Utara, Medan, Indonesia; Faculty Economic and Business, Universitas Sumatera Utara, Medan, Indonesia; Department of English Language, College of Education, The Islamic University, Najaf, Iraq; Department of English, College of Sciences and Humanities in Alkharj, Prince Sattam bin Abdulaziz University, Al-kharj, Saudi Arabia; Department of Law, Al-Nisour University College, Baghdad, Iraq; Department of Mother Tongue and its Teaching Methods in Primary Education, Tashkent State Pedagogical University named after Nizami, Tashkent, Uzbekistan; Department of Humanitarian Disciplines, Moscow Polytechnic University, Moscow, Russian Federation","Rubino, R., Islamic Broadcasting Communications, Universitas Islam Negeri Sumatera Utara, Medan, Indonesia; Muda, I., Faculty Economic and Business, Universitas Sumatera Utara, Medan, Indonesia; Almedee, A., Department of English Language, College of Education, The Islamic University, Najaf, Iraq; Alam, S., Department of English, College of Sciences and Humanities in Alkharj, Prince Sattam bin Abdulaziz University, Al-kharj, Saudi Arabia; Ali, A.D., Department of Law, Al-Nisour University College, Baghdad, Iraq; Sadikov, R., Department of Mother Tongue and its Teaching Methods in Primary Education, Tashkent State Pedagogical University named after Nizami, Tashkent, Uzbekistan; Panova, E., Department of Humanitarian Disciplines, Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85168692575
"Nikolsky V.S., Rubin Y.B., Sorokin P.S., Morozova E.V., Gazieva I.A., Kharina O.S., Lednev V.A., Lukashenko M.A., Viatskaya Y.A., Platonova E.D.","58547910700;57207888477;56509164400;58029898800;57476805800;58547283700;58547781600;57206179198;58547910800;57221196410;","Entrepreneurship Education as a Subject of Research [Предпринимательское образование как предмет научного исследования]",2023,"Vysshee Obrazovanie v Rossii","32","6",,"38","53",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168683461&doi=10.31992%2f0869-3617-2023-32-6-38-53&partnerID=40&md5=8b06a30611f75238b001d88375132861","The Project Center of Moscow Polytechnic University, Russian Federation; Synergy University, Russian Federation; The Laboratory for the Human Potential and Education Research, Higher School of Economics, Russian Federation; Open University “Skolkovo”, Russian Federation; Academic Educational Initiatives Center, The Russian Presidential Academy of National Economy and Public Administration, Russian Federation; Technological Entrepreneurship Faculty, Synergy University, Russian Federation; The Laboratory for the Human Potential and Education Research of Higher, School of Economics, Russian Federation; Economical Theory and Management Department, Moscow Pedagogical State University, Russian Federation","Nikolsky, V.S., The Project Center of Moscow Polytechnic University, Russian Federation; Rubin, Y.B., Synergy University, Russian Federation; Sorokin, P.S., The Laboratory for the Human Potential and Education Research, Higher School of Economics, Russian Federation; Morozova, E.V., Open University “Skolkovo”, Russian Federation; Gazieva, I.A., Academic Educational Initiatives Center, The Russian Presidential Academy of National Economy and Public Administration, Russian Federation; Kharina, O.S., Technological Entrepreneurship Faculty, Synergy University, Russian Federation; Lednev, V.A., Synergy University, Russian Federation; Lukashenko, M.A., Synergy University, Russian Federation; Viatskaya, Y.A., The Laboratory for the Human Potential and Education Research of Higher, School of Economics, Russian Federation; Platonova, E.D., Economical Theory and Management Department, Moscow Pedagogical State University, Russian Federation",Article,Scopus,2-s2.0-85168683461
"Golik V.I., Razorenov Yu.I., Belodedov A.A., Versilov S.O.","6602135324;57194146509;57200506510;57196256702;","Minimization of the Danger of Metallized Mine Drains",2023,"Bezopasnost' Truda v Promyshlennosti","2023","7",,"60","65",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168567507&doi=10.24000%2f0409-2961-2023-7-60-65&partnerID=40&md5=b7b4972ab6702184a2d0b1b895de0dd8","SRSPU (NPI), Novocherkassk, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Golik, V.I., SRSPU (NPI), Novocherkassk, Russian Federation, Moscow Polytechnic University, Moscow, Russian Federation; Razorenov, Yu.I., SRSPU (NPI), Novocherkassk, Russian Federation; Belodedov, A.A., SRSPU (NPI), Novocherkassk, Russian Federation; Versilov, S.O., SRSPU (NPI), Novocherkassk, Russian Federation",Article,Scopus,2-s2.0-85168567507
"Bosikov I.I., Klyuev R.V., Silaev I.V., Pilieva D.E.","56919738300;57194206632;57189031683;57201777149;","Estimation of multistage hydraulic fracturing parameters using 4D simulation",2023,"Mining Science and Technology (Russian Federation)","8","2",,"141","149",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167895030&doi=10.17073%2f2500-0632-2023-01-97&partnerID=40&md5=a5e817ea54761d6d96cab7a803b53cde","Oil and Gas Department, North Caucasian Mining and Metallurgical Institute, Vladikavkaz, Russian Federation; Department of the Technique of Low Temperature named after P. L. Kapitza, Moscow Polytechnic University, Moscow, Russian Federation; Department of Physics and Astronomy, North Ossetian State University named after K. L. Khetagurov, Vladikavkaz, Russian Federation; Department of Philosophy and Social and Humanitarian Technologies, North Caucasian Mining and Metallurgical Institute, Vladikavkaz, Russian Federation","Bosikov, I.I., Oil and Gas Department, North Caucasian Mining and Metallurgical Institute, Vladikavkaz, Russian Federation; Klyuev, R.V., Department of the Technique of Low Temperature named after P. L. Kapitza, Moscow Polytechnic University, Moscow, Russian Federation; Silaev, I.V., Department of Physics and Astronomy, North Ossetian State University named after K. L. Khetagurov, Vladikavkaz, Russian Federation; Pilieva, D.E., Department of Philosophy and Social and Humanitarian Technologies, North Caucasian Mining and Metallurgical Institute, Vladikavkaz, Russian Federation",Article,Scopus,2-s2.0-85167895030
"Kokorina J.","57219245095;","The “Prince” of Steppe Scythia (Children’s Burial from Tovsta Mohyla in the Context of Mythological Picture of the Scythian World) [„Prinţ” al Sciţiei de Stepă (mormântul de copil din Tolstaia Mogila în contextul tabloului mitologic al lumii sciţilor)] [«Царевич» Степной Скифии (детское погребение из Толстой Могилы в контексте мифологической картины мира скифов)]",2023,"Stratum Plus",,"3",,"27","42",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167893695&doi=10.55086%2fSP2332742&partnerID=40&md5=b8f5708446fb16b4e0cf7efd087ec498","Candidate of Historical Sciences, Doctor of Philological Sciences, Moscow Polytechnic University, Bolshaya Semyonovskaya St., 38, Moscow, 107023, Russian Federation","Kokorina, J., Candidate of Historical Sciences, Doctor of Philological Sciences, Moscow Polytechnic University, Bolshaya Semyonovskaya St., 38, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85167893695
"Khalkechev K.V., Khalkechev R.K., Levkin Yu.M.","57188961977;57188967310;57297910200;","MATHEMATICAL MODEL OF THE STRESS FIELD IN THE PILLARS WITH DUE ACCOUNT TAKEN OF THE MAIN CRACK IN COAL FIELDS [Математическая модель поля напряжений в целиках с учетом магистральной трещины на угольных месторождениях]",2023,"Ugol",,"7",,"56","58",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167703004&doi=10.18796%2f0041-5790-2023-7-56-58&partnerID=40&md5=4186cdb0c04b7a4947cacf86770a0226","National University of Science and Technology “MISIS” (NUST “MISIS”), Moscow, 119049, Russian Federation; Moscow Polytechnic University, Moscow, 105064, Russian Federation; The Russian Union of Surveyor, Russian Federation","Khalkechev, K.V., National University of Science and Technology “MISIS” (NUST “MISIS”), Moscow, 119049, Russian Federation; Khalkechev, R.K., National University of Science and Technology “MISIS” (NUST “MISIS”), Moscow, 119049, Russian Federation; Levkin, Yu.M., Moscow Polytechnic University, Moscow, 105064, Russian Federation, The Russian Union of Surveyor, Russian Federation",Article,Scopus,2-s2.0-85167703004
